file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$IHelpCommandInitializable,"init/4[picocli.CommandLine,picocli.CommandLine.Help.Ansi,java.io.PrintStream,java.io.PrintStream]",false,12446,2,1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,"isUnknownOption/2[java.util.List<java.lang.String>,picocli.CommandLine]",false,15117,2,4,2,2,2,4,3,1,0,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,10,0,false
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,stripErrorMessage/1[java.util.List<java.lang.String>],false,15072,0,2,2,0,4,4,11,1,2,1,4,0,0,1,1,0,0,1,2,2,0,2,0,0,0,9,8,0,false
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,isUnknownOption/0,false,15083,2,3,1,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,"printSuggestions/2[picocli.CommandLine.ParameterException,java.io.PrintWriter]",false,15066,2,2,1,1,1,1,3,1,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,21,9,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,getUnmatched/0,false,15071,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,printSuggestions/1[java.io.PrintStream],false,15086,1,2,1,1,1,1,3,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,"UnmatchedArgumentException/2[picocli.CommandLine,java.util.Stack<java.lang.String>]",true,15054,1,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,str/1[java.util.List<java.lang.String>],false,15098,0,1,1,0,1,4,4,1,1,1,4,0,0,0,0,0,0,0,3,1,1,0,0,0,0,3,10,0,false
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,"UnmatchedArgumentException/2[picocli.CommandLine,java.util.List<java.lang.String>]",true,15055,3,4,1,3,1,3,4,0,0,2,3,2,2,0,0,0,0,2,0,1,1,0,0,0,0,9,1,0,false
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,getSuggestions/0,false,15104,4,8,1,7,4,17,16,4,4,0,17,0,0,0,0,0,0,0,5,4,0,1,0,0,0,18,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,printSuggestions/1[java.io.PrintWriter],false,15089,1,5,2,3,3,6,7,1,1,1,6,3,2,0,0,0,0,5,0,1,2,1,0,0,0,27,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.0.4\src\main\java\picocli\CommandLine.java,picocli.CommandLine$UnmatchedArgumentException,"describe/2[java.util.List<java.lang.String>,picocli.CommandLine]",false,15120,2,2,1,1,5,4,5,1,2,2,4,1,1,0,3,0,1,8,3,2,2,0,0,0,0,9,10,0,false
