file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$OverwrittenOptionException,"OverwrittenOptionException/3[picocli.CommandLine,picocli.CommandLine.Model.ArgSpec,java.lang.String]",true,18224,2,1,1,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$OverwrittenOptionException,getOverwritten/0,false,18230,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addPositionalParameters/2[java.util.List<picocli.CommandLine.Model.PositionalParamSpec>,picocli.CommandLine.Help.IParamLabelRenderer]",false,16516,4,3,1,2,3,2,7,0,0,2,2,1,2,1,0,0,0,0,0,0,0,2,0,0,0,25,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,colorScheme/0,false,16546,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"Layout/2[picocli.CommandLine.Help.ColorScheme,picocli.CommandLine.Help.TextTable]",true,16455,4,2,0,2,1,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,textTable/0,false,16549,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"Layout/2[picocli.CommandLine.Help.ColorScheme,int]",true,16447,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addAllOptions/2[java.util.List<picocli.CommandLine.Model.OptionSpec>,picocli.CommandLine.Help.IParamLabelRenderer]",false,16498,3,2,1,1,2,1,5,0,0,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,34,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"layout/2[picocli.CommandLine.Model.ArgSpec,picocli.CommandLine.Help.Ansi.Text[][]]",false,16477,3,3,2,1,2,1,5,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,37,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,optionRenderer/0,false,16552,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,toString/0,false,16543,1,5,4,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addAllPositionalParameters/2[java.util.List<picocli.CommandLine.Model.PositionalParamSpec>,picocli.CommandLine.Help.IParamLabelRenderer]",false,16528,3,2,1,1,2,1,5,0,0,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,36,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addPositionalParameter/2[picocli.CommandLine.Model.PositionalParamSpec,picocli.CommandLine.Help.IParamLabelRenderer]",false,16538,5,5,3,2,1,2,4,0,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,35,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addOption/2[picocli.CommandLine.Model.OptionSpec,picocli.CommandLine.Help.IParamLabelRenderer]",false,16508,5,5,3,2,1,2,4,0,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,32,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"Layout/4[picocli.CommandLine.Help.ColorScheme,picocli.CommandLine.Help.TextTable,picocli.CommandLine.Help.IOptionRenderer,picocli.CommandLine.Help.IParameterRenderer]",true,16464,5,5,1,4,1,4,6,0,0,4,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,37,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.6.3\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,parameterRenderer/0,false,16555,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
